HOME;AWAY;FTHG;FTAG;DIFF
Leeds;Southampton;0;1;-1
Southampton;West Brom;3;1;2
Leeds;Norwich;4;0;4
West Brom;Southampton;0;0;0
Norwich;Leeds;0;0;0
Birmingham;Norwich;1;0;1
Coventry;QPR;1;2;-1
Ipswich;Huddersfield;2;0;2
Leeds;Southampton;1;2;-1
Leicester;Blackburn;0;2;-2
Middlesbrough;Watford;3;1;2
Plymouth;Hull;1;0;1
Rotherham;Cardiff;5;2;3
Stoke;Bristol City;4;0;4
Sunderland;Sheffield Wed;0;2;-2
Swansea;Millwall;0;1;-1
West Brom;Preston;3;0;3
Coventry;Ipswich;1;2;-1
Preston;Leicester;0;3;-3
Hull;Ipswich;3;3;0
Blackburn;Coventry;0;0;0
Bristol City;Rotherham;2;0;2
Cardiff;Middlesbrough;1;4;-3
Huddersfield;Birmingham;1;1;0
Millwall;Plymouth;1;0;1
Norwich;Swansea;2;2;0
Sheffield Wed;West Brom;3;0;3
Southampton;Stoke;0;1;-1
Watford;Sunderland;1;0;1
QPR;Leeds;4;0;4
Coventry;Hull;2;3;-1
Leicester;Southampton;5;0;5
Middlesbrough;Leeds;3;4;-1
Blackburn;Sheffield Wed;1;3;-2
QPR;Preston;1;0;1
Cardiff;Southampton;2;1;1
Huddersfield;Swansea;0;4;-4
Norwich;Bristol City;1;1;0
Rotherham;Birmingham;0;0;0
Stoke;Plymouth;3;0;3
Sunderland;Millwall;0;1;-1
Watford;Hull;0;0;0
Leicester;West Brom;2;1;1
Southampton;Preston;3;0;3
Birmingham;Coventry;3;0;3
Bristol City;Huddersfield;1;1;0
Hull;QPR;3;0;3
Ipswich;Middlesbrough;1;1;0
Millwall;Cardiff;3;1;2
Preston;Norwich;0;1;-1
Sheffield Wed;Stoke;1;1;0
Southampton;Watford;3;2;1
Swansea;Rotherham;1;0;1
West Brom;Sunderland;0;1;-1
Leeds;Blackburn;0;1;-1
Plymouth;Leicester;1;0;1
Swansea;Stoke;3;0;3
West Brom;Rotherham;2;0;2
Birmingham;Cardiff;0;1;-1
Bristol City;Blackburn;5;0;5
Hull;Middlesbrough;2;2;0
Ipswich;Watford;0;0;0
Leeds;Sunderland;0;0;0
Millwall;Leicester;1;0;1
Plymouth;QPR;1;1;0
Preston;Huddersfield;4;1;3
Sheffield Wed;Norwich;2;2;0
Southampton;Coventry;2;1;1
Blackburn;Southampton;0;0;0
Cardiff;Hull;1;3;-2
Coventry;Leeds;2;1;1
Huddersfield;Millwall;1;0;1
Leicester;Birmingham;2;1;1
Middlesbrough;Swansea;2;0;2
QPR;Sheffield Wed;0;2;-2
Stoke;West Brom;2;2;0
Sunderland;Bristol City;0;0;0
Watford;Preston;0;0;0
Norwich;Ipswich;1;0;1
Rotherham;Plymouth;0;1;-1
